doc_template_code,biz_category,biz_system,sales_type,biz_process,biz_event,account_event_category,account_event,text_kor,text_eng,is_active,biz_event_order,document_type,processing_type,order_item_status,charge_status,contract_status,service_flow_status,logistics_status
OLEASE_REPLACEMENT_RENTAL_ASSET_DISPOSED,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,REPLACEMENT,REPLACEMENT_COMPLETED,RENTAL_ASSET,RENTAL_ASSET_DISPOSED,[운용리스:교환] 교환완료- 렌탈자산 폐기,,Y,4,ACCOUNTING_DOCUMENT,AUTO,,,,,
OLEASE_REPLACEMENT_PRODUCT_RECEIPT,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,REPLACEMENT,PRODUCT_RECEIVED,LOGISTICS,GOODS_RECEIPT,[운용리스:교환] 반환입고,,Y,5,GOODS_RECEIPT,AUTO,,,,,
OLEASE_REPLACEMENT_PRICE_DIFFERENCE,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,REPLACEMENT,REPLACEMENT_COMPLETED,INVENTORY_VALUATION,PRICE_DIFFERENCE,[운용리스:교환] 교환완료- 재고가액 확정,,Y,6,ACCOUNTING_DOCUMENT,AUTO,,,,,
OLEASE_REPLACEMENT_GRADE_B_INVENTORY_DISPOSED,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,REPLACEMENT,B_GRADE_INVENTORY_DISPOSED,LOGISTICS,INVENTORY_DISPOSED,[운용리스:교환] B급 재고자산 폐기,,Y,7,GOODS_ISSUE,AUTO,,,,,
OLEASE_CONTRACT_TERMINATION_RECEIVED,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,CONTRACT_TERMINATION,CONTRACT_TERMINATION_RECEIVED,,,[운용리스:해지] 해지접수,,N,1,ACCOUNTING_DOCUMENT,AUTO,,,,,
OLEASE_CONTRACT_TERMINATION_DISMANTLING,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,CONTRACT_TERMINATION,AS_DISMANTLING,,,[운용리스:해지] 해체확정,,N,2,ACCOUNTING_DOCUMENT,AUTO,,,,,
OLEASE_CONTRACT_TERMINATION_RENTAL_ASSET_DISPOSED,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,CONTRACT_TERMINATION,CONTRACT_TERMINATION_COMPLETED,RENTAL_ASSET,RENTAL_ASSET_DISPOSED,[운용리스:해지] 렌탈자산 폐기,,Y,3,ASSET_POSTING,AUTO,,,,,
OLEASE_CONTRACT_TERMINATION_RENTAL_ASSET_LOSS_DISPOSED,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,CONTRACT_TERMINATION,CONTRACT_TERMINATION_COMPLETED,RENTAL_ASSET,RENTAL_ASSET_DISPOSED,[운용리스:해지] 렌탈자산 폐기(분실),,Y,4,ASSET_POSTING,AUTO,,,,,
OLEASE_CONTRACT_TERMINATION_PRODUCT_RECEIPT,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,CONTRACT_TERMINATION,PRODUCT_RECEIVED,LOGISTICS,GOODS_RECEIPT,[운용리스:해지] 반환입고,,Y,5,GOODS_RECEIPT,AUTO,,,,,
OLEASE_CONTRACT_TERMINATION_GRADE_B_INVENTORY_DISPOSED,CUSTOMER,OPERATING_LEASE,OPERATING_LEASE,CONTRACT_TERMINATION,B_GRADE_INVENTORY_DISPOSED,LOGISTICS,INVENTORY_DISPOSED,[운용리스:해지] B급 재고자산 폐기,,Y,6,GOODS_ISSUE,AUTO,,,,,
